datatype;datatype_member;fn;sequence
\N;\N;atomic_cmpset_char;\N
\N;\N;atomic_cmpset_short;\N
\N;\N;atomic_cmpset_int;\N
\N;\N;atomic_cmpset_long;\N
\N;\N;atomic_fcmpset_char;\N
\N;\N;atomic_fcmpset_short;\N
\N;\N;atomic_fcmpset_int;\N
\N;\N;atomic_fcmpset_long;\N
\N;\N;atomic_store_rel_char;\N
\N;\N;atomic_store_rel_short;\N
\N;\N;atomic_store_rel_int;\N
\N;\N;atomic_store_rel_long;\N
\N;\N;atomic_load_acq_char;\N
\N;\N;atomic_load_acq_short;\N
\N;\N;atomic_load_acq_int;\N
\N;\N;atomic_load_acq_long;\N
\N;\N;atomic_set_barr_char;\N
\N;\N;atomic_set_barr_short;\N
\N;\N;atomic_set_barr_int;\N
\N;\N;atomic_set_barr_long;\N
\N;\N;atomic_set_char;\N
\N;\N;atomic_set_short;\N
\N;\N;atomic_set_int;\N
\N;\N;atomic_set_long;\N
\N;\N;atomic_clear_barr_char;\N
\N;\N;atomic_clear_barr_short;\N
\N;\N;atomic_clear_barr_int;\N
\N;\N;atomic_clear_barr_long;\N
\N;\N;atomic_clear_char;\N
\N;\N;atomic_clear_short;\N
\N;\N;atomic_clear_int;\N
\N;\N;atomic_clear_long;\N
\N;\N;atomic_add_barr_char;\N
\N;\N;atomic_add_barr_short;\N
\N;\N;atomic_add_barr_int;\N
\N;\N;atomic_add_barr_long;\N
\N;\N;atomic_add_char;\N
\N;\N;atomic_add_short;\N
\N;\N;atomic_add_int;\N
\N;\N;atomic_add_long;\N
\N;\N;atomic_subtract_barr_char;\N
\N;\N;atomic_subtract_barr_short;\N
\N;\N;atomic_subtract_barr_int;\N
\N;\N;atomic_subtract_barr_long;\N
\N;\N;atomic_subtract_char;\N
\N;\N;atomic_subtract_short;\N
\N;\N;atomic_subtract_int;\N
\N;\N;atomic_subtract_long;\N
\N;\N;atomic_fetchadd_int;\N
\N;\N;atomic_fetchadd_long;\N
\N;\N;atomic_testandset_int;\N
\N;\N;atomic_testandclear_int;\N
vnode;\N;vdropl_final;\N
vnode;\N;getnewvnode;\N
vnode;\N;freevnode;\N
fifoinfo;\N;fifo_cleanup;\N
fifoinfo;\N;fifo_open;\N
mount;\N;vfs_mount_alloc;\N
mount;\N;vfs_mountroot_parse;\N
pipepair;\N;pipe_paircreate;\N
pipepair;\N;pipe_named_ctor;\N
pipepair;\N;pipeclose;\N
vpollinfo;\N;v_addpollinfo;\N
vpollinfo;\N;destroy_vpollinfo;\N
mount;\N;vfs_mount_alloc;\N
mount;\N;vfs_mount_destroy;\N
nc_vnodelocks;\N;nchinit;\N
nc_vnodelocks;\N;cache_neg_init;\N
cdev_priv;\N;devfs_alloc;\N
cdev_priv;\N;devfs_free;\N
devfs_dirent;\N;devfs_newdirent;\N
devfs_dirent;\N;devfs_vmkdir;\N
devfs_mount;\N;devfs_mount;\N
neglist;\N;nchinit;\N
neglist;\N;cache_neg_init;\N
buf;\N;buf_alloc;\N
buf;\N;buf_free;\N
buf;\N;bufinit;\N
buf;\N;cluster_rbuild;\N
bufdomain;\N;bd_init;\N
bufdomain;\N;bufinit;\N
bufqueue;\N;bq_init;\N
bufqueue;\N;bufinit;\N
